tenant_id,sale_date,barcode,상품명,옵션명,sale_qty,unit_price_krw,revenue_krw,channel,stock_qty
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-24,880400000070,벨트,베이지,6,22290,133740,online,93
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-24,880400000336,코트,퍼플,2,132180,264361,offline,365
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-24,880400000336,코트,퍼플,0,134490,0,snapshot,367
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-24,880400000348,스커트,화이트,8,34740,277918,online,212
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-25,880400000057,폴로,핑크,5,34713,173564,offline,318
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-25,880400000239,부츠,올리브,6,94696,568173,offline,215
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-25,880400000348,스커트,화이트,4,34094,136375,offline,208
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-25,880400000357,폴로,핑크,2,34843,69686,online,333
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-25,880400000419,부츠,올리브,1,105082,105082,online,286
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-25,880400000456,코트,퍼플,7,135383,947683,offline,350
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-26,880400000057,폴로,핑크,3,34162,102487,offline,315
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-26,880400000060,티셔츠,레드,5,15625,78126,offline,136
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-26,880400000083,진,그레이,3,36068,108203,online,379
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-26,880400000247,드레스,오렌지,8,61575,492597,online,367
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-26,880400000331,스카프,블루,5,17124,85619,offline,92
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-26,880400000348,스커트,화이트,0,34380,0,snapshot,173
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-26,880400000440,티셔츠,옐로우,5,16614,83068,online,226
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-27,880400000060,티셔츠,레드,3,15129,45387,offline,133
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-27,880400000237,폴로,핑크,8,35774,286189,online,275
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-27,880400000239,부츠,올리브,5,96317,481586,online,210
84949b3c-2cb7-4c42-b9f9-d1f37d371e00,2025-07-27,880400000298,블라우스,청록,7,39805,278632,online,210
